,Name,Team,Birthdate,Nation,Height,Weight,Foot,Position
0,Álex Padilla,Athletic Bilbao,01.09.2003,Spain,190 cm,,right,Goalkeeper
2,Iru,Athletic Bilbao,22.08.1998,Spain,188 cm,74 kg,left,Goalkeeper
4,Julen Agirrezabala,Athletic Bilbao,26.12.2000,Spain,187 cm,78 kg,left,Goalkeeper
6,Unai Simón,Athletic Bilbao,11.06.1997,Spain,190 cm,88 kg,right,Goalkeeper
8,Aitor Paredes,Athletic Bilbao,29.04.2000,Spain,186 cm,76 kg,right,Centre Back
10,Balenziaga,Athletic Bilbao,29.02.1988,Spain,177 cm,76 kg,left,Left Back
12,Capa,Athletic Bilbao,08.02.1992,Spain,175 cm,75 kg,right,Right BackRight Midfielder
14,De Marcos,Athletic Bilbao,14.04.1989,Spain,182 cm,77 kg,right,Right BackRight Midfielder
16,Iñigo Lekue,Athletic Bilbao,04.05.1993,Spain,180 cm,70 kg,right,Right BackLeft Back
18,Iñigo Martínez,Athletic Bilbao,17.05.1991,Spain,182 cm,76 kg,left,Centre BackLeft Back
20,Vivian,Athletic Bilbao,05.07.1999,Spain,184 cm,78 kg,right,Centre Back
22,Yeray,Athletic Bilbao,24.01.1995,Spain,182 cm,78 kg,right,Centre Back
24,Yuri,Athletic Bilbao,10.02.1990,Spain,181 cm,79 kg,left,Left BackLeft Winger
26,Ander Herrera,Athletic Bilbao,14.08.1989,Spain,182 cm,71 kg,right,Central MidfielderOffensive Midfielder
28,Dani García,Athletic Bilbao,24.05.1990,Spain,179 cm,81 kg,right,Central MidfielderDefensive Midfielder
30,Oihan Sancet,Athletic Bilbao,25.04.2000,Spain,188 cm,73 kg,right,Offensive MidfielderCentral Midfielder
32,Vencedor,Athletic Bilbao,15.11.2000,Spain,176 cm,71 kg,right,Central MidfielderDefensive Midfielder
34,Vesga,Athletic Bilbao,08.04.1993,Spain,191 cm,83 kg,left,Defensive MidfielderCentral Midfielder
36,Zarraga,Athletic Bilbao,04.01.1999,Spain,175 cm,76 kg,right,Central MidfielderOffensive Midfielder
38,Álex Berenguer,Athletic Bilbao,04.07.1995,Spain,175 cm,73 kg,right,Right MidfielderLeft Midfielder
40,Guruzeta,Athletic Bilbao,12.09.1996,Spain,188 cm,77 kg,right,Centre ForwardLeft Midfielder
42,Iñaki Williams,Athletic Bilbao,15.06.1994,Ghana,186 cm,78 kg,right,Centre ForwardRight Midfielder
44,Luis Bilbao,Athletic Bilbao,24.03.2003,Spain,183 cm,,left,Left MidfielderRight Midfielder
46,Malcom Ares,Athletic Bilbao,12.10.2001,Spain,183 cm,,right,Right MidfielderLeft Midfielder
48,Morcillo,Athletic Bilbao,15.09.1998,Spain,183 cm,72 kg,left,Left MidfielderRight Midfielder
50,Muniain,Athletic Bilbao,19.12.1992,Spain,169 cm,65 kg,right,Left MidfielderOffensive Midfielder
52,Nico Williams,Athletic Bilbao,12.07.2002,Spain,181 cm,68 kg,right,Right MidfielderLeft Midfielder
54,Raúl García,Athletic Bilbao,11.07.1986,Spain,184 cm,83 kg,right,Centre ForwardOffensive Midfielder
56,Villalibre,Athletic Bilbao,30.09.1997,Spain,184 cm,86 kg,left,Centre Forward
58,Valverde,Athletic Bilbao,09.02.1964,Spain,169 cm,61 kg,,
60,Aspiazu,Athletic Bilbao,05.11.1962,Spain,,,,
62,Antonio Gomis,Atlético Madrid,20.05.2003,Spain,188 cm,80 kg,left,Goalkeeper
64,Ivo Grbić,Atlético Madrid,18.01.1996,Croatia,195 cm,83 kg,right,Goalkeeper
66,Jan Oblak,Atlético Madrid,07.01.1993,Slovenia,188 cm,87 kg,right,Goalkeeper
68,Sergio Mestre,Atlético Madrid,13.02.2005,Spain,,,,Goalkeeper
70,Adrián Corral,Atlético Madrid,05.01.2003,Spain,183 cm,77 kg,left,Centre BackLeft Back
72,Santiago Arias,Atlético Madrid,13.01.1992,Colombia,177 cm,72 kg,right,Right Back
